English,Korean
style,"스타일, 방식, 양식, 문체, 모양"
subscription,"구독, 기부, 신청"
subordinate,"부하의, 하위의, 산하, 종속시키다, 중요치, 않은"
subsidiary,"자회사, 제2주제, 보조의, 보조금의, 보조자"
subsidy,"보조금, 지원금, 장려금, 수급, 보상금"
substance,"물질, 본질"
success,"성공, 성과, 성공한, 사람, 달성, 출세"
suggestion,"제안, 의견, 조언, 암시, 명제"
summary,"요약, 개괄, 약식, 성명"
supervision,"감독, 관리, 지휘, 감시"
supervisor,"관리자, 감독자, 감독"
supplier,"공급하는, 사람, 원료, 공급국, 부품, 제조업자"
supply,"공급하다, 비축물자, 물품"
support,"지원하다, 지지하다, 돕다, 뒷받침하다, 제공하다"
survey,"조사하다, 연구하다, 평가하다"
system,"시스템, 제도, 체계, 장치, 체제"
target,"목표, 표적, 대상, 타깃, 과녁"
tariff,관세
task,"과제, 업무, 작업, 일, 문제"
tax,"세, 세금, 과세하다"
technician,"기술자, _사, 직원, 전문가"
technology,"기술, 과학, 기술, 테크놀러지, 공학"
telecommunication,"원격, 통신, 전기, 통신, 전기, 통신, 공학"
tenant,"세입자, 소작인, 거주자"
term,"용어, 임기, 계약조건, 기간, 말하다"
terminal,"터미널, 말기의, 단말기, 끝의"
termination,"종료, 종결, 만기"
territory,"영역, 영토, 지역, 세력권"
test,"시험, 검사, 실험, 테스트, 고사"
ticket,"티켓, 표, 승차권, 딱지, 입장권"
time,"시간, 때, 시기, 동안, 시대"
timetable,"시간표, 일정표"
title,"제목, 타이틀, 명칭, 우승, 이름, 붙이다"
tourism,"관광, 관광업, 여행, 투어리즘"
tourist,"관광의, 관광객"
trade,"무역, 거래, 통상, 투자, 직업"
tradition,"전통, 관습, 전해지는"
traffic,"교통, 트래픽, 차, 통행, 거래"
training,"훈련, 교육, 트레이닝"
transaction,"거래, 트랜잭션, 업무, 계약, 입출금"
transfer,"넘겨주다, 옮기다, 갈아타다, 바꾸다, 물려주다"
transit,"운송, 통과, 이동시키다, 연결되다"
translation,"번역, 해석, 통역, 환산, 평행, 이동"
transportation,"운송, 교통, 이동, 수단"
travel,"여행, 이동, 교통, 나아가다, 운행"
trend,"경향, 추세, 트렌드, 현상, 유행"
trip,"여행, 방문하다, 출장, 이동, 걸려, 넘어지다"
turnover,"이직률, 교체, 전환, 매출, 거래액"
type,"유형, 양식, 종류, 타입, 타자"
uncertainty,"반신반의, 불확실, 확신이, 없음"
union,"노동조합, 단체, 연방, 연합, 아메리카, 합중국"
unit,"단위, 장치, …개, 부대, 계열사"
update,"갱신, 업데이트, 최신, 새로운, 개선"
upgrade,"업그레이드, 개선, 발전, 상향, 향상"
usage,"사용, 활용, 실태, 용법, 양상"
utility,"유틸리티, 공공요금, 전기, 가스, 전력"
vacancy,"빈자리, 빈방, 결원"
vacation,"휴가, 방학"
validity,"타당성, 유효성, 정당성, 객관성"
value,"가치, 가치관, 가격, 평가, 중시하다"
variety,"다양, 여러, 가지, 여러종류, 버라이어티, 갖가지"
vehicle,"차량, 자동차, 발사체, 이동수단, 매개물"
vendor,"판매자, 행상인, 노점"
venue,"행위의, 현장, 장소, 재판지"
verification,"확인, 입증, 증거"
version,"버전, 판, 형태, _본"
view,"보기, 관점, 견해, 전망, 모습"
violation,"위반, 침해, 유린, 위배, 위법"
vision,"비전, 시야, 시력, 미래, 보이기"
visit,"방문하다, 가다, 오다, 찾다, 체류하다"
visitor,"방문자, 관람객, 관광객, 손님"
volume,"부피, 볼륨, 양, 소리, 권"
wage,"임금, 소득, 급여, 벌어지다, 연봉"
waiting,"기다림, 대기, 줄, 버티다, 노리다"
warranty,"보증, 담보, 워런티, 보상, 보장"
waste,"쓰레기, 낭비하다, 쇠약하다"
wealth,"부, 재산, 부유함, 자원"
weather,"날씨, 기상, 기후, 일기, 극복하다"
weight,"체중, 무게, 웨이트, …급, 살"
welfare,"복지, 후생, 보호, 행복"
whole,"전체, 모든, 전, 완전히, 전부"
wholesale,"도매, 대량의, 대대적인"
width,"폭, 너비, 넓이, 가로"
willingness,"의사, 의지, 기꺼이, …하려는, 마음"
winner,"우승자, 수상자, 이긴, 사람, 당첨자, 선택된"
withdrawal,"탈퇴, 철수, 철회, 인출, 금단, 증상"
work,"일하다, 연구, 작업, 작품, 작동하다"
workplace,"직장, 일터, 작업장"
workshop,"워크샵, 작업장, 토론회"
writing,"쓰기, 작품, 작문, 작성, 글씨"
yield,"항복, 수율, 수확, 수익률, 내다"
zone,"지역, 지대, 지구, 존, 구분하다"
the,"그, 그럴수록, 더욱더"
of,"…의, …으로부터, …을"
and,"…, 및, …, …하고, 그리고, 또"
to,"…에, …까지, …에, 대하여, table, of, organization"
